date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:53	49813/49813	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index3604.html	(from )
15:08:53	24/24	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Oct%202025%2005:16:57%20GMT	https://p.w3layouts.com/robots.txt		(from )
15:08:54	338395/338395	---MCZ	200	added ('OK')	text/css	etag:W/%2260eda065-529db%22	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/assets/css/style-liberty.css	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/assets/css/style-liberty.css	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:55	49813/49813	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:55	23396/23396	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/about.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:56	27588/27588	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/courses.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/courses.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:56	25326/25326	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/blog.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/blog.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:57	23804/23804	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/blog-single.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/blog-single.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:58	3648/3648	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/error.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/error.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
15:08:58	58445/58445	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:17:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/landing-single.html	C:/Users/arena/OneDrive/Desktop/TEMPLATES/TRJ/p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/landing-single.html	(from https://p.w3layouts.com/demos_new/template_demo/13-07-2021/edukator-liberty-demo_Free/199581931/web/index.html?_gl=1*5tmmy6*_ga*MTc1MzUwMTIzNC4xNzU5Mzg4NTc1*_ga_EGV5GTJEP5*czE3NTkzODg1NzUkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_9HSZ46TKMQ*czE3NTkzODg1NzQkbzEkZzEkdDE3NTkzODg3MTYkajQkbDAkaDA.*_ga_FFZF56TTWE*czE3NTkzODg1NzYkbzEkZzEkdDE3NTkzODg3MTYkajYkbDAkaDA.&_ga=2.143735733.1233528207.1759388576-1753501234.1759388575)
